Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000423092501776838,-0.000449642,-0.018926389,0,0,0,0.455861650695922,0.000587308186169251,-1.06E-05,1.22813164718298E-06,0.000852038090042886,-4.88E-06,0.0014024470594033,0,0,0,0,0,0,package://head/meshes/base_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://head/meshes/base_link.STL,,A1-上安装板-1;测试固定板-1;肩部位置-1;pitch轴安装座-1;EL05-1;pitch轴限位环-1,base link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
pitch_Link,-0.011234112,-0.006947529,0.0321857851897055,0,0,0,0.0930350143835444,5.8840535188368E-05,6.01702233348234E-06,9.0952965704988E-06,5.20668760411307E-05,-1.53E-05,2.74431475292274E-05,0,0,0,0,0,0,package://head/meshes/pitch_Link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://head/meshes/pitch_Link.STL,,pitch输出轴-1;EL05-2;roll轴限位环-1,axis_joint1,axis1,axis1,revolute,0,0,0.028,0,0,0,base_link,0,-1,0,0,0,-0.61,0.61,,,,,,,,
roll_Link,0.0111167052128765,4.83290823022192E-05,0.0322586283549145,0,0,0,0.0844994308339552,2.2139787436951E-05,-5.38E-09,5.47545045413997E-06,2.8013564394473E-05,-4.92E-08,2.65043891155872E-05,0,0,0,0,0,0,package://head/meshes/roll_Link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://head/meshes/roll_Link.STL,,roll输出轴-1;EL05-3;yaw轴限位环-1,axis_joint2,axis2,axis2,revolute,0,0,0.048,0,0,0,pitch_Link,1,0,0,0,0,-0.52,0.52,,,,,,,,
yaw_Link,0.00103214967479447,5.14693341075658E-05,0.0132585704276815,0,0,0,0.69749510951816,0.00412290319487172,-4.47E-06,0.000179402901402881,0.0040165965070686,-5.36E-06,0.00395045055237545,0,0,0,0,0,0,package://head/meshes/yaw_Link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://head/meshes/yaw_Link.STL,,yaw输出轴-1;相机支架-3dof-方案2-1;头0812-1,axis_joint3,axis3,axis3,revolute,0,0,0.082,0,0,0,roll_Link,0,0,1,0,0,-1.65,1.65,,,,,,,,
